"","classification","sex","age","total","survived"
"1","1st","Male","Child",1,"Yes"
"2","1st","Male","Child",1,"Yes"
"3","1st","Male","Child",1,"Yes"
"4","1st","Male","Child",1,"Yes"
"5","1st","Male","Child",1,"Yes"
"6","2nd","Male","Child",1,"Yes"
"7","2nd","Male","Child",1,"Yes"
"8","2nd","Male","Child",1,"Yes"
"9","2nd","Male","Child",1,"Yes"
"10","2nd","Male","Child",1,"Yes"
"11","2nd","Male","Child",1,"Yes"
"12","2nd","Male","Child",1,"Yes"
"13","2nd","Male","Child",1,"Yes"
"14","2nd","Male","Child",1,"Yes"
"15","2nd","Male","Child",1,"Yes"
"16","2nd","Male","Child",1,"Yes"
"17","3rd","Male","Child",1,"Yes"
"18","3rd","Male","Child",1,"Yes"
"19","3rd","Male","Child",1,"Yes"
"20","3rd","Male","Child",1,"Yes"
"21","3rd","Male","Child",1,"Yes"
"22","3rd","Male","Child",1,"Yes"
"23","3rd","Male","Child",1,"Yes"
"24","3rd","Male","Child",1,"Yes"
"25","3rd","Male","Child",1,"Yes"
"26","3rd","Male","Child",1,"Yes"
"27","3rd","Male","Child",1,"Yes"
"28","3rd","Male","Child",1,"Yes"
"29","3rd","Male","Child",1,"Yes"
"30","3rd","Male","Child",1,"No"
"31","3rd","Male","Child",1,"No"
"32","3rd","Male","Child",1,"No"
"33","3rd","Male","Child",1,"No"
"34","3rd","Male","Child",1,"No"
"35","3rd","Male","Child",1,"No"
"36","3rd","Male","Child",1,"No"
"37","3rd","Male","Child",1,"No"
"38","3rd","Male","Child",1,"No"
"39","3rd","Male","Child",1,"No"
"40","3rd","Male","Child",1,"No"
“41","3rd","Male","Child",1,"No"
"42","3rd","Male","Child",1,"No"
"43","3rd","Male","Child",1,"No"
"44","3rd","Male","Child",1,"No"
"45","3rd","Male","Child",1,"No"
"46","3rd","Male","Child",1,"No"
"47","3rd","Male","Child",1,"No"
"48","3rd","Male","Child",1,"No"
"49","3rd","Male","Child",1,"No"
"50","3rd","Male","Child",1,"No"
"51","3rd","Male","Child",1,"No"
"52","3rd","Male","Child",1,"No"
"53","3rd","Male","Child",1,"No"
"54","3rd","Male","Child",1,"No"
"55","3rd","Male","Child",1,"No"
"56","3rd","Male","Child",1,"No"
"57","3rd","Male","Child",1,"No"
"58","3rd","Male","Child",1,"No"
"59","3rd","Male","Child",1,"No"
"60","3rd","Male","Child",1,"No"
"61","3rd","Male","Child",1,"No"
"62","3rd","Male","Child",1,"No"
"63","3rd","Male","Child",1,"No"
"64","3rd","Male","Child",1,"No"
"65","1st","Female","Child",1,"No"
"66","2nd","Female","Child",1,"Yes"
"67","2nd","Female","Child",1,"Yes"
"68","2nd","Female","Child",1,"Yes"
"69","2nd","Female","Child",1,"Yes"
"70","2nd","Female","Child",1,"Yes"
"71","2nd","Female","Child",1,"Yes"
"72","2nd","Female","Child",1,"Yes"
"73","2nd","Female","Child",1,"Yes"
"74","2nd","Female","Child",1,"Yes"
"75","2nd","Female","Child",1,"Yes"
"76","2nd","Female","Child",1,"Yes"
"77","2nd","Female","Child",1,"Yes"
"78","2nd","Female","Child",1,"Yes"
"79","3rd","Female","Child",1,"Yes"
"80","3rd","Female","Child",1,"Yes"
"81","3rd","Female","Child",1,"Yes"
"82","3rd","Female","Child",1,"Yes"
"83","3rd","Female","Child",1,"Yes"
"84","3rd","Female","Child",1,"Yes"
"85","3rd","Female","Child",1,"Yes"
"86","3rd","Female","Child",1,"Yes"
"87","3rd","Female","Child",1,"Yes"
"88","3rd","Female","Child",1,"Yes"
"89","3rd","Female","Child",1,"Yes"
"90","3rd","Female","Child",1,"Yes"
"91","3rd","Female","Child",1,"Yes"
"92","3rd","Female","Child",1,"Yes"
"93","3rd","Female","Child",1,"No"
"94","3rd","Female","Child",1,"No"
"95","3rd","Female","Child",1,"No"
"96","3rd","Female","Child",1,"No"
"97","3rd","Female","Child",1,"No"
"98","3rd","Female","Child",1,"No"
"99","3rd","Female","Child",1,"No"
"100","3rd","Female","Child",1,"No"
"101","3rd","Female","Child",1,"No"
"102","3rd","Female","Child",1,"No"
"103","3rd","Female","Child",1,"No"
"104","3rd","Female","Child",1,"No"
"105","3rd","Female","Child",1,"No"
"106","3rd","Female","Child",1,"No"
"107","3rd","Female","Child",1,"No"
"108","3rd","Female","Child",1,"No"
"109","3rd","Female","Child",1,"No"
"110","1st","Male","Adult",1,"Yes"
"111","1st","Male","Adult",1,"Yes"
"112","1st","Male","Adult",1,"Yes"
"113","1st","Male","Adult",1,"Yes"
"114","1st","Male","Adult",1,"Yes"
"115","1st","Male","Adult",1,"Yes"
"116","1st","Male","Adult",1,"Yes"
"117","1st","Male","Adult",1,"Yes"
"118","1st","Male","Adult",1,"Yes"
"119","1st","Male","Adult",1,"Yes"
"120","1st","Male","Adult",1,"Yes"
"121","1st","Male","Adult",1,"Yes"
"122","1st","Male","Adult",1,"Yes"
"123","1st","Male","Adult",1,"Yes"
"124","1st","Male","Adult",1,"Yes"
"125","1st","Male","Adult",1,"Yes"
"126","1st","Male","Adult",1,"Yes"
"127","1st","Male","Adult",1,"Yes"
"128","1st","Male","Adult",1,"Yes"
"129","1st","Male","Adult",1,"Yes"
"130","1st","Male","Adult",1,"Yes"
"131","1st","Male","Adult",1,"Yes"
"132","1st","Male","Adult",1,"Yes"
"133","1st","Male","Adult",1,"Yes"
"134","1st","Male","Adult",1,"Yes"
"135","1st","Male","Adult",1,"Yes"
"136","1st","Male","Adult",1,"Yes"
"137","1st","Male","Adult",1,"Yes"
"138","1st","Male","Adult",1,"Yes"
"139","1st","Male","Adult",1,"Yes"
"140","1st","Male","Adult",1,"Yes"
"141","1st","Male","Adult",1,"Yes"
"142","1st","Male","Adult",1,"Yes"
"143","1st","Male","Adult",1,"Yes"
"144","1st","Male","Adult",1,"Yes"
"145","1st","Male","Adult",1,"Yes"
"146","1st","Male","Adult",1,"Yes"
"147","1st","Male","Adult",1,"Yes"
"148","1st","Male","Adult",1,"Yes"
"149","1st","Male","Adult",1,"Yes"
"150","1st","Male","Adult",1,"Yes"
"151","1st","Male","Adult",1,"Yes"
"152","1st","Male","Adult",1,"Yes"
"153","1st","Male","Adult",1,"Yes"
"154","1st","Male","Adult",1,"Yes"
"155","1st","Male","Adult",1,"Yes"
"156","1st","Male","Adult",1,"Yes"
"157","1st","Male","Adult",1,"Yes"
"158","1st","Male","Adult",1,"Yes"
"159","1st","Male","Adult",1,"Yes"
"160","1st","Male","Adult",1,"Yes"
"161","1st","Male","Adult",1,"Yes"
"162","1st","Male","Adult",1,"Yes"
"163","1st","Male","Adult",1,"Yes"
"164","1st","Male","Adult",1,"Yes"
"165","1st","Male","Adult",1,"Yes"
"166","1st","Male","Adult",1,"Yes"
"167","1st","Male","Adult",1,"No"
"168","1st","Male","Adult",1,"No"
"169","1st","Male","Adult",1,"No"
"170","1st","Male","Adult",1,"No"
"171","1st","Male","Adult",1,"No"
"172","1st","Male","Adult",1,"No"
"173","1st","Male","Adult",1,"No"
"174","1st","Male","Adult",1,"No"
"175","1st","Male","Adult",1,"No"
"176","1st","Male","Adult",1,"No"
"177","1st","Male","Adult",1,"No"
"178","1st","Male","Adult",1,"No"
"179","1st","Male","Adult",1,"No"
"180","1st","Male","Adult",1,"No"
"181","1st","Male","Adult",1,"No"
"182","1st","Male","Adult",1,"No"
"183","1st","Male","Adult",1,"No"
"184","1st","Male","Adult",1,"No"
"185","1st","Male","Adult",1,"No"
"186","1st","Male","Adult",1,"No"
"187","1st","Male","Adult",1,"No"
"188","1st","Male","Adult",1,"No"
"189","1st","Male","Adult",1,"No"
"190","1st","Male","Adult",1,"No"
"191","1st","Male","Adult",1,"No"
"192","1st","Male","Adult",1,"No"
"193","1st","Male","Adult",1,"No"
"194","1st","Male","Adult",1,"No"
"195","1st","Male","Adult",1,"No"
"196","1st","Male","Adult",1,"No"
"197","1st","Male","Adult",1,"No"
"198","1st","Male","Adult",1,"No"
"199","1st","Male","Adult",1,"No"
"200","1st","Male","Adult",1,"No"
"201","1st","Male","Adult",1,"No"
"202","1st","Male","Adult",1,"No"
"203","1st","Male","Adult",1,"No"
"204","1st","Male","Adult",1,"No"
"205","1st","Male","Adult",1,"No"
"206","1st","Male","Adult",1,"No"
"207","1st","Male","Adult",1,"No"
"208","1st","Male","Adult",1,"No"
"209","1st","Male","Adult",1,"No"
"210","1st","Male","Adult",1,"No"
"211","1st","Male","Adult",1,"No"
"212","1st","Male","Adult",1,"No"
"213","1st","Male","Adult",1,"No"
"214","1st","Male","Adult",1,"No"
"215","1st","Male","Adult",1,"No"
"216","1st","Male","Adult",1,"No"
"217","1st","Male","Adult",1,"No"
"218","1st","Male","Adult",1,"No"
“219","1st","Male","Adult",1,"No"
"220","1st","Male","Adult",1,"No"
"221","1st","Male","Adult",1,"No"
"222","1st","Male","Adult",1,"No"
"223","1st","Male","Adult",1,"No"
"224","1st","Male","Adult",1,"No"
"225","1st","Male","Adult",1,"No"
"226","1st","Male","Adult",1,"No"
"227","1st","Male","Adult",1,"No"
"228","1st","Male","Adult",1,"No"
"229","1st","Male","Adult",1,"No"
"230","1st","Male","Adult",1,"No"
"231","1st","Male","Adult",1,"No"
"232","1st","Male","Adult",1,"No"
"233","1st","Male","Adult",1,"No"
"234","1st","Male","Adult",1,"No"
"235","1st","Male","Adult",1,"No"
"236","1st","Male","Adult",1,"No"
"237","1st","Male","Adult",1,"No"
"238","1st","Male","Adult",1,"No"
"239","1st","Male","Adult",1,"No"
"240","1st","Male","Adult",1,"No"
"241","1st","Male","Adult",1,"No"
"242","1st","Male","Adult",1,"No"
"243","1st","Male","Adult",1,"No"
"244","1st","Male","Adult",1,"No"
"245","1st","Male","Adult",1,"No"
"246","1st","Male","Adult",1,"No"
"247","1st","Male","Adult",1,"No"
"248","1st","Male","Adult",1,"No"
"249","1st","Male","Adult",1,"No"
"250","1st","Male","Adult",1,"No"
"251","1st","Male","Adult",1,"No"
"252","1st","Male","Adult",1,"No"
"253","1st","Male","Adult",1,"No"
"254","1st","Male","Adult",1,"No"
"255","1st","Male","Adult",1,"No"
"256","1st","Male","Adult",1,"No"
"257","1st","Male","Adult",1,"No"
"258","1st","Male","Adult",1,"No"
"259","1st","Male","Adult",1,"No"
"260","1st","Male","Adult",1,"No"
"261","1st","Male","Adult",1,"No"
"262","1st","Male","Adult",1,"No"
"263","1st","Male","Adult",1,"No"
"264","1st","Male","Adult",1,"No"
"265","1st","Male","Adult",1,"No"
"266","1st","Male","Adult",1,"No"
"267","1st","Male","Adult",1,"No"
"268","1st","Male","Adult",1,"No"
"269","1st","Male","Adult",1,"No"
"270","1st","Male","Adult",1,"No"
"271","1st","Male","Adult",1,"No"
"272","1st","Male","Adult",1,"No"
"273","1st","Male","Adult",1,"No"
"274","1st","Male","Adult",1,"No"
"275","1st","Male","Adult",1,"No"
"276","1st","Male","Adult",1,"No"
"277","1st","Male","Adult",1,"No"
"278","1st","Male","Adult",1,"No"
"279","1st","Male","Adult",1,"No"
"280","1st","Male","Adult",1,"No"
"281","1st","Male","Adult",1,"No"
"282","1st","Male","Adult",1,"No"
"283","1st","Male","Adult",1,"No"
"284","1st","Male","Adult",1,"No"
"285","2nd","Male","Adult",1,"Yes"
"286","2nd","Male","Adult",1,"Yes"
"287","2nd","Male","Adult",1,"Yes"
"288","2nd","Male","Adult",1,"Yes"
"289","2nd","Male","Adult",1,"Yes"
"290","2nd","Male","Adult",1,"Yes"
"291","2nd","Male","Adult",1,"Yes"
"292","2nd","Male","Adult",1,"Yes"
"293","2nd","Male","Adult",1,"Yes"
"294","2nd","Male","Adult",1,"Yes"
"295","2nd","Male","Adult",1,"Yes"
"296","2nd","Male","Adult",1,"Yes"
"297","2nd","Male","Adult",1,"Yes"
"298","2nd","Male","Adult",1,"Yes"
"299","2nd","Male","Adult",1,"No"
"300","2nd","Male","Adult",1,"No"
"301","2nd","Male","Adult",1,"No"
"302","2nd","Male","Adult",1,"No"
"303","2nd","Male","Adult",1,"No"
"304","2nd","Male","Adult",1,"No"
"305","2nd","Male","Adult",1,"No"
"306","2nd","Male","Adult",1,"No"
"307","2nd","Male","Adult",1,"No"
"308","2nd","Male","Adult",1,"No"
"309","2nd","Male","Adult",1,"No"
"310","2nd","Male","Adult",1,"No"
"311","2nd","Male","Adult",1,"No"
"312","2nd","Male","Adult",1,"No"
"313","2nd","Male","Adult",1,"No"
"314","2nd","Male","Adult",1,"No"
"315","2nd","Male","Adult",1,"No"
"316","2nd","Male","Adult",1,"No"
"317","2nd","Male","Adult",1,"No"
"318","2nd","Male","Adult",1,"No"
"319","2nd","Male","Adult",1,"No"
"320","2nd","Male","Adult",1,"No"
"321","2nd","Male","Adult",1,"No"
"322","2nd","Male","Adult",1,"No"
"323","2nd","Male","Adult",1,"No"
"324","2nd","Male","Adult",1,"No"
"325","2nd","Male","Adult",1,"No"
"326","2nd","Male","Adult",1,"No"
"327","2nd","Male","Adult",1,"No"
"328","2nd","Male","Adult",1,"No"
"329","2nd","Male","Adult",1,"No"
"330","2nd","Male","Adult",1,"No"
"331","2nd","Male","Adult",1,"No"
"332","2nd","Male","Adult",1,"No"
"333","2nd","Male","Adult",1,"No"
"334","2nd","Male","Adult",1,"No"
"335","2nd","Male","Adult",1,"No"
"336","2nd","Male","Adult",1,"No"
"337","2nd","Male","Adult",1,"No"
"338","2nd","Male","Adult",1,"No"
"339","2nd","Male","Adult",1,"No"
"340","2nd","Male","Adult",1,"No"
"341","2nd","Male","Adult",1,"No"
"342","2nd","Male","Adult",1,"No"
"343","2nd","Male","Adult",1,"No"
"344","2nd","Male","Adult",1,"No"
"345","2nd","Male","Adult",1,"No"
"346","2nd","Male","Adult",1,"No"
"347","2nd","Male","Adult",1,"No"
"348","2nd","Male","Adult",1,"No"
"349","2nd","Male","Adult",1,"No"
"350","2nd","Male","Adult",1,"No"
"351","2nd","Male","Adult",1,"No"
"352","2nd","Male","Adult",1,"No"
"353","2nd","Male","Adult",1,"No"
"354","2nd","Male","Adult",1,"No"
"355","2nd","Male","Adult",1,"No"
"356","2nd","Male","Adult",1,"No"
"357","2nd","Male","Adult",1,"No"
"358","2nd","Male","Adult",1,"No"
"359","2nd","Male","Adult",1,"No"
"360","2nd","Male","Adult",1,"No"
"361","2nd","Male","Adult",1,"No"
"362","2nd","Male","Adult",1,"No"
"363","2nd","Male","Adult",1,"No"
"364","2nd","Male","Adult",1,"No"
"365","2nd","Male","Adult",1,"No"
"366","2nd","Male","Adult",1,"No"
"367","2nd","Male","Adult",1,"No"
"368","2nd","Male","Adult",1,"No"
"369","2nd","Male","Adult",1,"No"
"370","2nd","Male","Adult",1,"No"
"371","2nd","Male","Adult",1,"No"
"372","2nd","Male","Adult",1,"No"
"373","2nd","Male","Adult",1,"No"
"374","2nd","Male","Adult",1,"No"
"375","2nd","Male","Adult",1,"No"
"376","2nd","Male","Adult",1,"No"
"377","2nd","Male","Adult",1,"No"
"378","2nd","Male","Adult",1,"No"
"379","2nd","Male","Adult",1,"No"
"380","2nd","Male","Adult",1,"No"
"381","2nd","Male","Adult",1,"No"
"382","2nd","Male","Adult",1,"No"
"383","2nd","Male","Adult",1,"No"
"384","2nd","Male","Adult",1,"No"
"385","2nd","Male","Adult",1,"No"
"386","2nd","Male","Adult",1,"No"
"387","2nd","Male","Adult",1,"No"
"388","2nd","Male","Adult",1,"No"
"389","2nd","Male","Adult",1,"No"
"390","2nd","Male","Adult",1,"No"
"391","2nd","Male","Adult",1,"No"
"392","2nd","Male","Adult",1,"No"
"393","2nd","Male","Adult",1,"No"
"394","2nd","Male","Adult",1,"No"
"395","2nd","Male","Adult",1,"No"
"396","2nd","Male","Adult",1,"No"
"397","2nd","Male","Adult",1,"No"
"398","2nd","Male","Adult",1,"No"
"399","2nd","Male","Adult",1,"No"
"400","2nd","Male","Adult",1,"No"
"401","2nd","Male","Adult",1,"No"
"402","2nd","Male","Adult",1,"No"
"403","2nd","Male","Adult",1,"No"
"404","2nd","Male","Adult",1,"No"
"405","2nd","Male","Adult",1,"No"
"406","2nd","Male","Adult",1,"No"
"407","2nd","Male","Adult",1,"No"
"408","2nd","Male","Adult",1,"No"
"409","2nd","Male","Adult",1,"No"
"410","2nd","Male","Adult",1,"No"
"411","2nd","Male","Adult",1,"No"
"412","2nd","Male","Adult",1,"No"
"413","2nd","Male","Adult",1,"No"
"414","2nd","Male","Adult",1,"No"
"415","2nd","Male","Adult",1,"No"
"416","2nd","Male","Adult",1,"No"
"417","2nd","Male","Adult",1,"No"
"418","2nd","Male","Adult",1,"No"
"419","2nd","Male","Adult",1,"No"
"420","2nd","Male","Adult",1,"No"
"421","2nd","Male","Adult",1,"No"
"422","2nd","Male","Adult",1,"No"
"423","2nd","Male","Adult",1,"No"
"424","2nd","Male","Adult",1,"No"
"425","2nd","Male","Adult",1,"No"
"426","2nd","Male","Adult",1,"No"
"427","2nd","Male","Adult",1,"No"
"428","2nd","Male","Adult",1,"No"
"429","2nd","Male","Adult",1,"No"
"430","2nd","Male","Adult",1,"No"
"431","2nd","Male","Adult",1,"No"
"432","2nd","Male","Adult",1,"No"
"433","2nd","Male","Adult",1,"No"
"434","2nd","Male","Adult",1,"No"
"435","2nd","Male","Adult",1,"No"
"436","2nd","Male","Adult",1,"No"
"437","2nd","Male","Adult",1,"No"
"438","2nd","Male","Adult",1,"No"
"439","2nd","Male","Adult",1,"No"
"440","2nd","Male","Adult",1,"No"
"441","2nd","Male","Adult",1,"No"
"442","2nd","Male","Adult",1,"No"
"443","2nd","Male","Adult",1,"No"
"444","2nd","Male","Adult",1,"No"
"445","2nd","Male","Adult",1,"No"
"446","2nd","Male","Adult",1,"No"
"447","2nd","Male","Adult",1,"No"
"448","2nd","Male","Adult",1,"No"
"449","2nd","Male","Adult",1,"No"
"450","2nd","Male","Adult",1,"No"
"451","2nd","Male","Adult",1,"No"
"452","2nd","Male","Adult",1,"No"
"453","3rd","Male","Adult",1,"Yes"
"454","3rd","Male","Adult",1,"Yes"
"455","3rd","Male","Adult",1,"Yes"
"456","3rd","Male","Adult",1,"Yes"
"457","3rd","Male","Adult",1,"Yes"
"458","3rd","Male","Adult",1,"Yes"
"459","3rd","Male","Adult",1,"Yes"
"460","3rd","Male","Adult",1,"Yes"
"461","3rd","Male","Adult",1,"Yes"
"462","3rd","Male","Adult",1,"Yes"
"463","3rd","Male","Adult",1,"Yes"
"464","3rd","Male","Adult",1,"Yes"
"465","3rd","Male","Adult",1,"Yes"
"466","3rd","Male","Adult",1,"Yes"
"467","3rd","Male","Adult",1,"Yes"
"468","3rd","Male","Adult",1,"Yes"
"469","3rd","Male","Adult",1,"Yes"
"470","3rd","Male","Adult",1,"Yes"
"471","3rd","Male","Adult",1,"Yes"
"472","3rd","Male","Adult",1,"Yes"
"473","3rd","Male","Adult",1,"Yes"
"474","3rd","Male","Adult",1,"Yes"
"475","3rd","Male","Adult",1,"Yes"
"476","3rd","Male","Adult",1,"Yes"
"477","3rd","Male","Adult",1,"Yes"
"478","3rd","Male","Adult",1,"Yes"
"479","3rd","Male","Adult",1,"Yes"
"480","3rd","Male","Adult",1,"Yes"
"481","3rd","Male","Adult",1,"Yes"
"482","3rd","Male","Adult",1,"Yes"
"483","3rd","Male","Adult",1,"Yes"
"484","3rd","Male","Adult",1,"Yes"
"485","3rd","Male","Adult",1,"Yes"
"486","3rd","Male","Adult",1,"Yes"
"487","3rd","Male","Adult",1,"Yes"
"488","3rd","Male","Adult",1,"Yes"
"489","3rd","Male","Adult",1,"Yes"
"490","3rd","Male","Adult",1,"Yes"
"491","2nd","Female","Adult",1,"No"
"492","2nd","Female","Adult",1,"No"
"493","2nd","Female","Adult",1,"No"
"494","2nd","Female","Adult",1,"No"
"495","2nd","Female","Adult",1,"No"
"496","2nd","Female","Adult",1,"No"
"497","2nd","Female","Adult",1,"No"
"498","2nd","Female","Adult",1,"No"
"499","2nd","Female","Adult",1,"No"
"500","3rd","Male","Adult",1,"Yes"
"501","3rd","Male","Adult",1,"Yes"
"502","3rd","Male","Adult",1,"Yes"
"503","3rd","Male","Adult",1,"Yes"
"504","3rd","Male","Adult",1,"Yes"
"505","3rd","Male","Adult",1,"Yes"
"506","3rd","Male","Adult",1,"Yes"
"507","3rd","Male","Adult",1,"Yes"
"508","3rd","Male","Adult",1,"Yes"
"509","3rd","Male","Adult",1,"Yes"
"510","3rd","Male","Adult",1,"Yes"
"511","3rd","Male","Adult",1,"Yes"
"512","3rd","Male","Adult",1,"Yes"
"513","3rd","Male","Adult",1,"Yes"
"514","3rd","Male","Adult",1,"Yes"
"515","3rd","Male","Adult",1,"Yes"
"516","3rd","Male","Adult",1,"Yes"
"517","3rd","Male","Adult",1,"Yes"
"518","3rd","Male","Adult",1,"Yes"
"519","3rd","Male","Adult",1,"Yes"
"520","3rd","Male","Adult",1,"Yes"
"521","3rd","Male","Adult",1,"Yes"
"522","3rd","Male","Adult",1,"Yes"
"523","3rd","Male","Adult",1,"Yes"
"524","3rd","Male","Adult",1,"Yes"
"525","3rd","Male","Adult",1,"Yes"
"526","3rd","Male","Adult",1,"Yes"
"527","3rd","Male","Adult",1,"Yes"
"528","3rd","Male","Adult",1,"Yes"
"529","3rd","Male","Adult",1,"Yes"
"530","3rd","Male","Adult",1,"Yes"
"531","3rd","Male","Adult",1,"Yes"
"532","3rd","Male","Adult",1,"Yes"
"533","3rd","Male","Adult",1,"Yes"
"534","3rd","Male","Adult",1,"Yes"
"535","3rd","Male","Adult",1,"Yes"
"536","3rd","Male","Adult",1,"Yes"
"537","3rd","Male","Adult",1,"No"
"538","3rd","Male","Adult",1,"No"
"539","3rd","Male","Adult",1,"No"
"540","3rd","Male","Adult",1,"No"
"541","3rd","Male","Adult",1,"No"
"542","3rd","Male","Adult",1,"No"
"543","3rd","Male","Adult",1,"No"
"544","3rd","Male","Adult",1,"No"
"545","3rd","Male","Adult",1,"No"
"546","3rd","Male","Adult",1,"No"
"547","3rd","Male","Adult",1,"No"
"548","3rd","Male","Adult",1,"No"
"549","3rd","Male","Adult",1,"No"
"550","3rd","Male","Adult",1,"No"
"551","3rd","Male","Adult",1,"No"
"552","3rd","Male","Adult",1,"No"
"553","3rd","Male","Adult",1,"No"
"554","3rd","Male","Adult",1,"No"
"555","3rd","Male","Adult",1,"No"
"556","3rd","Male","Adult",1,"No"
"557","3rd","Male","Adult",1,"No"
"558","3rd","Male","Adult",1,"No"
"559","3rd","Male","Adult",1,"No"
"560","3rd","Male","Adult",1,"No"
"561","3rd","Male","Adult",1,"No"
"562","3rd","Male","Adult",1,"No"
"563","3rd","Male","Adult",1,"No"
"564","3rd","Male","Adult",1,"No"
"565","3rd","Male","Adult",1,"No"
"566","3rd","Male","Adult",1,"No"
"567","3rd","Male","Adult",1,"No"
"568","3rd","Male","Adult",1,"No"
"569","3rd","Male","Adult",1,"No"
"570","3rd","Male","Adult",1,"No"
"571","3rd","Male","Adult",1,"No"
"572","3rd","Male","Adult",1,"No"
"573","3rd","Male","Adult",1,"No"
"574","3rd","Male","Adult",1,"No"
"575","3rd","Male","Adult",1,"No"
