"","classification","sex","age","total","survived"
"576","3rd","Male","Adult",1,"No"
"577","3rd","Male","Adult",1,"No"
"578","3rd","Male","Adult",1,"No"
"579","3rd","Male","Adult",1,"No"
"580","3rd","Male","Adult",1,"No"
"581","3rd","Male","Adult",1,"No"
"582","3rd","Male","Adult",1,"No"
"583","3rd","Male","Adult",1,"No"
"584","3rd","Male","Adult",1,"No"
"585","3rd","Male","Adult",1,"No"
"586","3rd","Male","Adult",1,"No"
"587","3rd","Male","Adult",1,"No"
"588","3rd","Male","Adult",1,"No"
"589","3rd","Male","Adult",1,"No"
"590","3rd","Male","Adult",1,"No"
"591","3rd","Male","Adult",1,"No"
"592","3rd","Male","Adult",1,"No"
"593","3rd","Male","Adult",1,"No"
"594","3rd","Male","Adult",1,"No"
"595","3rd","Male","Adult",1,"No"
"596","3rd","Male","Adult",1,"No"
"597","3rd","Male","Adult",1,"No"
"598","3rd","Male","Adult",1,"No"
"599","3rd","Male","Adult",1,"No"
"600","3rd","Male","Adult",1,"No"
"601","3rd","Male","Adult",1,"No"
"602","3rd","Male","Adult",1,"No"
"603","3rd","Male","Adult",1,"No"
"604","3rd","Male","Adult",1,"No"
"605","3rd","Male","Adult",1,"No"
"606","3rd","Male","Adult",1,"No"
"607","3rd","Male","Adult",1,"No"
"608","3rd","Male","Adult",1,"No"
"609","3rd","Male","Adult",1,"No"
"610","3rd","Male","Adult",1,"No"
"611","3rd","Male","Adult",1,"No"
"612","3rd","Male","Adult",1,"No"
"613","3rd","Male","Adult",1,"No"
"614","3rd","Male","Adult",1,"No"
"615","3rd","Male","Adult",1,"No"
"616","3rd","Male","Adult",1,"No"
"617","3rd","Male","Adult",1,"No"
"618","3rd","Male","Adult",1,"No"
"619","3rd","Male","Adult",1,"No"
"620","3rd","Male","Adult",1,"No"
"621","3rd","Male","Adult",1,"No"
"622","3rd","Male","Adult",1,"No"
"623","3rd","Male","Adult",1,"No"
"624","3rd","Male","Adult",1,"No"
"625","3rd","Male","Adult",1,"No"
"626","3rd","Male","Adult",1,"No"
"627","3rd","Male","Adult",1,"No"
"628","3rd","Male","Adult",1,"No"
"629","3rd","Male","Adult",1,"No"
"630","3rd","Male","Adult",1,"No"
"631","3rd","Male","Adult",1,"No"
"632","3rd","Male","Adult",1,"No"
"633","3rd","Male","Adult",1,"No"
"634","3rd","Male","Adult",1,"No"
"635","3rd","Male","Adult",1,"No"
"636","3rd","Male","Adult",1,"No"
"637","3rd","Male","Adult",1,"No"
"638","3rd","Male","Adult",1,"No"
"639","3rd","Male","Adult",1,"No"
"640","3rd","Male","Adult",1,"No"
"641","3rd","Male","Adult",1,"No"
"642","3rd","Male","Adult",1,"No"
"643","3rd","Male","Adult",1,"No"
"644","3rd","Male","Adult",1,"No"
"645","3rd","Male","Adult",1,"No"
"646","3rd","Male","Adult",1,"No"
"647","3rd","Male","Adult",1,"No"
"648","3rd","Male","Adult",1,"No"
"649","3rd","Male","Adult",1,"No"
"650","3rd","Male","Adult",1,"No"
"651","3rd","Male","Adult",1,"No"
"652","3rd","Male","Adult",1,"No"
"653","3rd","Male","Adult",1,"No"
"654","3rd","Male","Adult",1,"No"
"655","3rd","Male","Adult",1,"No"
"656","3rd","Male","Adult",1,"No"
"657","3rd","Male","Adult",1,"No"
"658","3rd","Male","Adult",1,"No"
"659","3rd","Male","Adult",1,"No"
"660","3rd","Male","Adult",1,"No"
"661","3rd","Male","Adult",1,"No"
"662","3rd","Male","Adult",1,"No"
"663","3rd","Male","Adult",1,"No"
"664","3rd","Male","Adult",1,"No"
"665","3rd","Male","Adult",1,"No"
"666","3rd","Male","Adult",1,"No"
"667","3rd","Male","Adult",1,"No"
"668","3rd","Male","Adult",1,"No"
"669","3rd","Male","Adult",1,"No"
"670","3rd","Male","Adult",1,"No"
"671","3rd","Male","Adult",1,"No"
"672","3rd","Male","Adult",1,"No"
"673","3rd","Male","Adult",1,"No"
"674","3rd","Male","Adult",1,"No"
"675","3rd","Male","Adult",1,"No"
"676","3rd","Male","Adult",1,"No"
"677","3rd","Male","Adult",1,"No"
"678","3rd","Male","Adult",1,"No"
"679","3rd","Male","Adult",1,"No"
"680","3rd","Male","Adult",1,"No"
"681","3rd","Male","Adult",1,"No"
"682","3rd","Male","Adult",1,"No"
"683","3rd","Male","Adult",1,"No"
"684","3rd","Male","Adult",1,"No"
"685","3rd","Male","Adult",1,"No"
"686","3rd","Male","Adult",1,"No"
"687","3rd","Male","Adult",1,"No"
"688","3rd","Male","Adult",1,"No"
"689","3rd","Male","Adult",1,"No"
"690","3rd","Male","Adult",1,"No"
"691","3rd","Male","Adult",1,"No"
"692","3rd","Male","Adult",1,"No"
"693","3rd","Male","Adult",1,"No"
"694","3rd","Male","Adult",1,"No"
"695","3rd","Male","Adult",1,"No"
"696","3rd","Male","Adult",1,"No"
"697","3rd","Male","Adult",1,"No"
"698","3rd","Male","Adult",1,"No"
"699","3rd","Male","Adult",1,"No"
"700","3rd","Male","Adult",1,"No"
"701","3rd","Male","Adult",1,"No"
"702","3rd","Male","Adult",1,"No"
"703","3rd","Male","Adult",1,"No"
"704","3rd","Male","Adult",1,"No"
"705","3rd","Male","Adult",1,"No"
"706","3rd","Male","Adult",1,"No"
"707","3rd","Male","Adult",1,"No"
"708","3rd","Male","Adult",1,"No"
"709","3rd","Male","Adult",1,"No"
"710","3rd","Male","Adult",1,"No"
"711","3rd","Male","Adult",1,"No"
"712","3rd","Male","Adult",1,"No"
"713","3rd","Male","Adult",1,"No"
"714","3rd","Male","Adult",1,"No"
"715","3rd","Male","Adult",1,"No"
"716","3rd","Male","Adult",1,"No"
"717","3rd","Male","Adult",1,"No"
"718","3rd","Male","Adult",1,"No"
"719","3rd","Male","Adult",1,"No"
"720","3rd","Male","Adult",1,"No"
"721","3rd","Male","Adult",1,"No"
"722","3rd","Male","Adult",1,"No"
"723","3rd","Male","Adult",1,"No"
"724","3rd","Male","Adult",1,"No"
"725","3rd","Male","Adult",1,"No"
"726","3rd","Male","Adult",1,"No"
"727","3rd","Male","Adult",1,"No"
"728","3rd","Male","Adult",1,"No"
"729","3rd","Male","Adult",1,"No"
"730","3rd","Male","Adult",1,"No"
"731","3rd","Male","Adult",1,"No"
"732","3rd","Male","Adult",1,"No"
"733","3rd","Male","Adult",1,"No"
"734","3rd","Male","Adult",1,"No"
"735","3rd","Male","Adult",1,"No"
"736","3rd","Male","Adult",1,"No"
"737","3rd","Male","Adult",1,"No"
"738","3rd","Male","Adult",1,"No"
"739","3rd","Male","Adult",1,"No"
"740","3rd","Male","Adult",1,"No"
"741","3rd","Male","Adult",1,"No"
"742","3rd","Male","Adult",1,"No"
"743","3rd","Male","Adult",1,"No"
"744","3rd","Male","Adult",1,"No"
"745","3rd","Male","Adult",1,"No"
"746","3rd","Male","Adult",1,"No"
"747","3rd","Male","Adult",1,"No"
"748","3rd","Male","Adult",1,"No"
"749","3rd","Male","Adult",1,"No"
"750","3rd","Male","Adult",1,"No"
"751","3rd","Male","Adult",1,"No"
"752","3rd","Male","Adult",1,"No"
"753","3rd","Male","Adult",1,"No"
"754","3rd","Male","Adult",1,"No"
"755","3rd","Male","Adult",1,"No"
"756","3rd","Male","Adult",1,"No"
"757","3rd","Male","Adult",1,"No"
"758","3rd","Male","Adult",1,"No"
"759","3rd","Male","Adult",1,"No"
"760","3rd","Male","Adult",1,"No"
"761","3rd","Male","Adult",1,"No"
"762","3rd","Male","Adult",1,"No"
"763","3rd","Male","Adult",1,"No"
"764","3rd","Male","Adult",1,"No"
"765","3rd","Male","Adult",1,"No"
"766","3rd","Male","Adult",1,"No"
"767","3rd","Male","Adult",1,"No"
"768","3rd","Male","Adult",1,"No"
"769","3rd","Male","Adult",1,"No"
"770","3rd","Male","Adult",1,"No"
"771","3rd","Male","Adult",1,"No"
"772","3rd","Male","Adult",1,"No"
"773","3rd","Male","Adult",1,"No"
"774","3rd","Male","Adult",1,"No"
"775","3rd","Male","Adult",1,"No"
"776","3rd","Male","Adult",1,"No"
"777","3rd","Male","Adult",1,"No"
"778","3rd","Male","Adult",1,"No"
"779","3rd","Male","Adult",1,"No"
"780","3rd","Male","Adult",1,"No"
"781","3rd","Male","Adult",1,"No"
"782","3rd","Male","Adult",1,"No"
"783","3rd","Male","Adult",1,"No"
"784","3rd","Male","Adult",1,"No"
"785","3rd","Male","Adult",1,"No"
"786","3rd","Male","Adult",1,"No"
"787","3rd","Male","Adult",1,"No"
"788","3rd","Male","Adult",1,"No"
"789","3rd","Male","Adult",1,"No"
"790","3rd","Male","Adult",1,"No"
"791","3rd","Male","Adult",1,"No"
"792","3rd","Male","Adult",1,"No"
"793","3rd","Male","Adult",1,"No"
"794","3rd","Male","Adult",1,"No"
"795","3rd","Male","Adult",1,"No"
"796","3rd","Male","Adult",1,"No"
"797","3rd","Male","Adult",1,"No"
"798","3rd","Male","Adult",1,"No"
"799","3rd","Male","Adult",1,"No"
"800","3rd","Male","Adult",1,"No"
"801","3rd","Male","Adult",1,"No"
"802","3rd","Male","Adult",1,"No"
"803","3rd","Male","Adult",1,"No"
"804","3rd","Male","Adult",1,"No"
"805","3rd","Male","Adult",1,"No"
"806","3rd","Male","Adult",1,"No"
"807","3rd","Male","Adult",1,"No"
"808","3rd","Male","Adult",1,"No"
"809","3rd","Male","Adult",1,"No"
"810","3rd","Male","Adult",1,"No"
"811","3rd","Male","Adult",1,"No"
"812","3rd","Male","Adult",1,"No"
"813","3rd","Male","Adult",1,"No"
"814","3rd","Male","Adult",1,"No"
"815","3rd","Male","Adult",1,"No"
"816","3rd","Male","Adult",1,"No"
"817","3rd","Male","Adult",1,"No"
"818","3rd","Male","Adult",1,"No"
"819","3rd","Male","Adult",1,"No"
"820","3rd","Male","Adult",1,"No"
"821","3rd","Male","Adult",1,"No"
"822","3rd","Male","Adult",1,"No"
"823","3rd","Male","Adult",1,"No"
"824","3rd","Male","Adult",1,"No"
"825","3rd","Male","Adult",1,"No"
"826","3rd","Male","Adult",1,"No"
"827","3rd","Male","Adult",1,"No"
"828","3rd","Male","Adult",1,"No"
"829","3rd","Male","Adult",1,"No"
"830","3rd","Male","Adult",1,"No"
"831","3rd","Male","Adult",1,"No"
"832","3rd","Male","Adult",1,"No"
"833","3rd","Male","Adult",1,"No"
"834","3rd","Male","Adult",1,"No"
"835","3rd","Male","Adult",1,"No"
"836","3rd","Male","Adult",1,"No"
"837","3rd","Male","Adult",1,"No"
"838","3rd","Male","Adult",1,"No"
"839","3rd","Male","Adult",1,"No"
"840","3rd","Male","Adult",1,"No"
"841","3rd","Male","Adult",1,"No"
"842","3rd","Male","Adult",1,"No"
"843","3rd","Male","Adult",1,"No"
"844","3rd","Male","Adult",1,"No"
"845","3rd","Male","Adult",1,"No"
"846","3rd","Male","Adult",1,"No"
"847","3rd","Male","Adult",1,"No"
"848","3rd","Male","Adult",1,"No"
"849","3rd","Male","Adult",1,"No"
"850","3rd","Male","Adult",1,"No"
"851","3rd","Male","Adult",1,"No"
"852","3rd","Male","Adult",1,"No"
"853","3rd","Male","Adult",1,"No"
"854","3rd","Male","Adult",1,"No"
"855","3rd","Male","Adult",1,"No"
"856","3rd","Male","Adult",1,"No"
"857","3rd","Male","Adult",1,"No"
"858","3rd","Male","Adult",1,"No"
"859","3rd","Male","Adult",1,"No"
"860","3rd","Male","Adult",1,"No"
"861","3rd","Male","Adult",1,"No"
"862","3rd","Male","Adult",1,"No"
"863","3rd","Male","Adult",1,"No"
"864","3rd","Male","Adult",1,"No"
"865","3rd","Male","Adult",1,"No"
"866","3rd","Male","Adult",1,"No"
"867","3rd","Male","Adult",1,"No"
"868","3rd","Male","Adult",1,"No"
"869","3rd","Male","Adult",1,"No"
"870","3rd","Male","Adult",1,"No"
"871","3rd","Male","Adult",1,"No"
"872","3rd","Male","Adult",1,"No"
"873","3rd","Male","Adult",1,"No"
"874","3rd","Male","Adult",1,"No"
"875","3rd","Male","Adult",1,"No"
"876","3rd","Male","Adult",1,"No"
"877","3rd","Male","Adult",1,"No"
"878","3rd","Male","Adult",1,"No"
"879","3rd","Male","Adult",1,"No"
"880","3rd","Male","Adult",1,"No"
"881","3rd","Male","Adult",1,"No"
"882","3rd","Male","Adult",1,"No"
"883","3rd","Male","Adult",1,"No"
"884","3rd","Male","Adult",1,"No"
"885","3rd","Male","Adult",1,"No"
"886","3rd","Male","Adult",1,"No"
"887","3rd","Male","Adult",1,"No"
"888","3rd","Male","Adult",1,"No"
"889","3rd","Male","Adult",1,"No"
"890","3rd","Male","Adult",1,"No"
"891","3rd","Male","Adult",1,"No"
"892","3rd","Male","Adult",1,"No"
"893","3rd","Male","Adult",1,"No"
"894","3rd","Male","Adult",1,"No"
"895","3rd","Male","Adult",1,"No"
"896","3rd","Male","Adult",1,"No"
"897","3rd","Male","Adult",1,"No"
"898","3rd","Male","Adult",1,"No"
"899","3rd","Male","Adult",1,"No"
"900","3rd","Male","Adult",1,"No"
"901","3rd","Male","Adult",1,"No"
"902","3rd","Male","Adult",1,"No"
"903","3rd","Male","Adult",1,"No"
"904","3rd","Male","Adult",1,"No"
"905","3rd","Male","Adult",1,"No"
"906","3rd","Male","Adult",1,"No"
"907","3rd","Male","Adult",1,"No"
"908","3rd","Male","Adult",1,"No"
"909","3rd","Male","Adult",1,"No"
"910","3rd","Male","Adult",1,"No"
"911","3rd","Male","Adult",1,"No"
"912","3rd","Male","Adult",1,"No"
"913","3rd","Male","Adult",1,"No"
"914","3rd","Male","Adult",1,"No"
"915","3rd","Male","Adult",1,"No"
"916","3rd","Male","Adult",1,"No"
"917","3rd","Male","Adult",1,"No"
"918","3rd","Male","Adult",1,"No"
"919","3rd","Male","Adult",1,"No"
"920","3rd","Male","Adult",1,"No"
"921","3rd","Male","Adult",1,"No"
"922","3rd","Male","Adult",1,"No"
"923","3rd","Male","Adult",1,"No"
"924","Crew","Male","Adult",1,"Yes"
"925","Crew","Male","Adult",1,"Yes"
"926","Crew","Male","Adult",1,"Yes"
"927","Crew","Male","Adult",1,"Yes"
"928","Crew","Male","Adult",1,"Yes"
"929","Crew","Male","Adult",1,"Yes"
"930","Crew","Male","Adult",1,"Yes"
"931","Crew","Male","Adult",1,"Yes"
"932","Crew","Male","Adult",1,"Yes"
"933","Crew","Male","Adult",1,"Yes"
"934","Crew","Male","Adult",1,"Yes"
"935","Crew","Male","Adult",1,"Yes"
"936","Crew","Male","Adult",1,"Yes"
"937","Crew","Male","Adult",1,"Yes"
"938","Crew","Male","Adult",1,"Yes"
"939","Crew","Male","Adult",1,"Yes"
"940","Crew","Male","Adult",1,"Yes"
"941","Crew","Male","Adult",1,"Yes"
"942","Crew","Male","Adult",1,"Yes"
"943","Crew","Male","Adult",1,"Yes"
"944","Crew","Male","Adult",1,"Yes"
"945","Crew","Male","Adult",1,"Yes"
"946","Crew","Male","Adult",1,"Yes"
"947","Crew","Male","Adult",1,"Yes"
"948","Crew","Male","Adult",1,"Yes"
"949","Crew","Male","Adult",1,"Yes"
"950","Crew","Male","Adult",1,"Yes"
"951","Crew","Male","Adult",1,"Yes"
"952","Crew","Male","Adult",1,"Yes"
"953","Crew","Male","Adult",1,"Yes"
"954","Crew","Male","Adult",1,"Yes"
"955","Crew","Male","Adult",1,"Yes"
"956","Crew","Male","Adult",1,"Yes"
"957","Crew","Male","Adult",1,"Yes"
"958","Crew","Male","Adult",1,"Yes"
“959","Crew","Male","Adult",1,"Yes"
“960","Crew","Male","Adult",1,"Yes"
"961","Crew","Male","Adult",1,"Yes"
"962","Crew","Male","Adult",1,"Yes"
"963","Crew","Male","Adult",1,"Yes"
"964","Crew","Male","Adult",1,"Yes"
"965","Crew","Male","Adult",1,"Yes"
"966","Crew","Male","Adult",1,"Yes"
"967","Crew","Male","Adult",1,"Yes"
"968","Crew","Male","Adult",1,"Yes"
"969","Crew","Male","Adult",1,"Yes"
"970","Crew","Male","Adult",1,"Yes"
"971","Crew","Male","Adult",1,"Yes"
"972","Crew","Male","Adult",1,"Yes"
"973","Crew","Male","Adult",1,"Yes"
"974","Crew","Male","Adult",1,"Yes"
"975","Crew","Male","Adult",1,"Yes"
"976","Crew","Male","Adult",1,"Yes"
"977","Crew","Male","Adult",1,"Yes"
"978","Crew","Male","Adult",1,"Yes"
"979","Crew","Male","Adult",1,"Yes"
"980","Crew","Male","Adult",1,"Yes"
"981","Crew","Male","Adult",1,"Yes"
"982","Crew","Male","Adult",1,"Yes"
"983","Crew","Male","Adult",1,"Yes"
"984","Crew","Male","Adult",1,"Yes"
"985","Crew","Male","Adult",1,"Yes"
"986","Crew","Male","Adult",1,"Yes"
"987","Crew","Male","Adult",1,"Yes"
"988","Crew","Male","Adult",1,"Yes"
"989","Crew","Male","Adult",1,"Yes"
"990","Crew","Male","Adult",1,"Yes"
"991","Crew","Male","Adult",1,"Yes"
"992","Crew","Male","Adult",1,"Yes"
"993","Crew","Male","Adult",1,"Yes"
"994","Crew","Male","Adult",1,"Yes"
"995","Crew","Male","Adult",1,"Yes"
"996","Crew","Male","Adult",1,"Yes"
"997","Crew","Male","Adult",1,"Yes"
"998","Crew","Male","Adult",1,"Yes"
"999","Crew","Male","Adult",1,"Yes"
"1000","Crew","Male","Adult",1,"Yes"
"1001","Crew","Male","Adult",1,"Yes"
"1002","Crew","Male","Adult",1,"Yes"
"1003","Crew","Male","Adult",1,"Yes"
"1004","Crew","Male","Adult",1,"Yes"
"1005","Crew","Male","Adult",1,"Yes"
"1006","Crew","Male","Adult",1,"Yes"
"1007","Crew","Male","Adult",1,"Yes"
"1008","Crew","Male","Adult",1,"Yes"
"1009","Crew","Male","Adult",1,"Yes"
"1010","Crew","Male","Adult",1,"Yes"
"1011","Crew","Male","Adult",1,"Yes"
"1012","Crew","Male","Adult",1,"Yes"
"1013","Crew","Male","Adult",1,"Yes"
"1014","Crew","Male","Adult",1,"Yes"
"1015","Crew","Male","Adult",1,"Yes"
"1016","Crew","Male","Adult",1,"Yes"
"1017","Crew","Male","Adult",1,"Yes"
"1018","Crew","Male","Adult",1,"Yes"
"1019","Crew","Male","Adult",1,"Yes"
"1020","Crew","Male","Adult",1,"Yes"
"1021","Crew","Male","Adult",1,"Yes"
"1022","Crew","Male","Adult",1,"Yes"
"1023","Crew","Male","Adult",1,"Yes"
"1024","Crew","Male","Adult",1,"Yes"
"1025","Crew","Male","Adult",1,"Yes"
"1026","Crew","Male","Adult",1,"Yes"
"1027","Crew","Male","Adult",1,"Yes"
"1028","Crew","Male","Adult",1,"Yes"
"1029","Crew","Male","Adult",1,"Yes"
"1030","Crew","Male","Adult",1,"Yes"
"1031","Crew","Male","Adult",1,"Yes"
"1032","Crew","Male","Adult",1,"Yes"
"1033","Crew","Male","Adult",1,"Yes"
"1034","Crew","Male","Adult",1,"Yes"
"1035","Crew","Male","Adult",1,"Yes"
"1036","Crew","Male","Adult",1,"Yes"
"1037","Crew","Male","Adult",1,"Yes"
"1038","Crew","Male","Adult",1,"Yes"
"1039","Crew","Male","Adult",1,"Yes"
"1040","Crew","Male","Adult",1,"Yes"
"1041","Crew","Male","Adult",1,"Yes"
"1042","Crew","Male","Adult",1,"Yes"
"1043","Crew","Male","Adult",1,"Yes"
"1044","Crew","Male","Adult",1,"Yes"
"1045","Crew","Male","Adult",1,"Yes"
"1046","Crew","Male","Adult",1,"Yes"
"1047","Crew","Male","Adult",1,"Yes"
"1048","Crew","Male","Adult",1,"Yes"
"1049","Crew","Male","Adult",1,"Yes"
"1050","Crew","Male","Adult",1,"Yes"
"1051","Crew","Male","Adult",1,"Yes"
"1052","Crew","Male","Adult",1,"Yes"
"1053","Crew","Male","Adult",1,"Yes"
"1054","Crew","Male","Adult",1,"Yes"
"1055","Crew","Male","Adult",1,"Yes"
"1056","Crew","Male","Adult",1,"Yes"
"1057","Crew","Male","Adult",1,"Yes"
"1058","Crew","Male","Adult",1,"Yes"
"1059","Crew","Male","Adult",1,"Yes"
"1060","Crew","Male","Adult",1,"Yes"
"1061","Crew","Male","Adult",1,"Yes"
"1062","Crew","Male","Adult",1,"Yes"
"1063","Crew","Male","Adult",1,"Yes"
"1064","Crew","Male","Adult",1,"Yes"
"1065","Crew","Male","Adult",1,"Yes"
"1066","Crew","Male","Adult",1,"Yes"
"1067","Crew","Male","Adult",1,"Yes"
"1068","Crew","Male","Adult",1,"Yes"
"1069","Crew","Male","Adult",1,"Yes"
"1070","Crew","Male","Adult",1,"Yes"
"1071","Crew","Male","Adult",1,"Yes"
"1072","Crew","Male","Adult",1,"Yes"
"1073","Crew","Male","Adult",1,"Yes"
"1074","Crew","Male","Adult",1,"Yes"
"1075","Crew","Male","Adult",1,"Yes"
"1076","Crew","Male","Adult",1,"Yes"
"1077","Crew","Male","Adult",1,"Yes"
"1078","Crew","Male","Adult",1,"Yes"
"1079","Crew","Male","Adult",1,"Yes"
"1080","Crew","Male","Adult",1,"Yes"
"1081","Crew","Male","Adult",1,"Yes"
"1082","Crew","Male","Adult",1,"Yes"
"1083","Crew","Male","Adult",1,"Yes"
"1084","Crew","Male","Adult",1,"Yes"
"1085","Crew","Male","Adult",1,"Yes"
"1086","Crew","Male","Adult",1,"Yes"
"1087","Crew","Male","Adult",1,"Yes"
"1088","Crew","Male","Adult",1,"Yes"
"1089","Crew","Male","Adult",1,"Yes"
"1090","Crew","Male","Adult",1,"Yes"
"1091","Crew","Male","Adult",1,"Yes"
"1092","Crew","Male","Adult",1,"Yes"
"1093","Crew","Male","Adult",1,"Yes"
"1094","Crew","Male","Adult",1,"Yes"
"1095","Crew","Male","Adult",1,"Yes"
"1096","Crew","Male","Adult",1,"Yes"
"1097","Crew","Male","Adult",1,"Yes"
"1098","Crew","Male","Adult",1,"Yes"
"1099","Crew","Male","Adult",1,"Yes"
"1100","Crew","Male","Adult",1,"Yes"
"1101","Crew","Male","Adult",1,"Yes"
"1102","Crew","Male","Adult",1,"Yes"
"1103","Crew","Male","Adult",1,"Yes"
"1104","Crew","Male","Adult",1,"Yes"
"1105","Crew","Male","Adult",1,"Yes"
"1106","Crew","Male","Adult",1,"Yes"
"1107","Crew","Male","Adult",1,"Yes"
"1108","Crew","Male","Adult",1,"Yes"
"1109","Crew","Male","Adult",1,"Yes"
"1110","Crew","Male","Adult",1,"Yes"
"1111","Crew","Male","Adult",1,"Yes"
"1112","Crew","Male","Adult",1,"Yes"
"1113","Crew","Male","Adult",1,"Yes"
"1114","Crew","Male","Adult",1,"Yes"
"1115","Crew","Male","Adult",1,"Yes"
"1116","Crew","Male","Adult",1,"No"
"1117","Crew","Male","Adult",1,"No"
"1118","Crew","Male","Adult",1,"No"
"1119","Crew","Male","Adult",1,"No"
"1120","Crew","Male","Adult",1,"No"
"1121","Crew","Male","Adult",1,"No"
"1122","Crew","Male","Adult",1,"No"
"1123","Crew","Male","Adult",1,"No"
"1124","Crew","Male","Adult",1,"No"
"1125","Crew","Male","Adult",1,"No"
"1126","Crew","Male","Adult",1,"No"
"1127","Crew","Male","Adult",1,"No"
"1128","Crew","Male","Adult",1,"No"
"1129","Crew","Male","Adult",1,"No"
"1130","Crew","Male","Adult",1,"No"
"1131","Crew","Male","Adult",1,"No"
"1132","Crew","Male","Adult",1,"No"
"1133","Crew","Male","Adult",1,"No"
"1134","Crew","Male","Adult",1,"No"
"1135","Crew","Male","Adult",1,"No"
"1136","Crew","Male","Adult",1,"No"
"1137","Crew","Male","Adult",1,"No"
"1138","Crew","Male","Adult",1,"No"
"1139","Crew","Male","Adult",1,"No"
"1140","Crew","Male","Adult",1,"No"
"1141","Crew","Male","Adult",1,"No"
"1142","Crew","Male","Adult",1,"No"
